Customer,Gender,Age,Status,Income,How often do you visit Starbucks?,How do you usually enjoy Starbucks?,How much time do you normally  spend during your visit?,Do you have Starbucks membership card?,What do you most frequently purchase at Starbucks?,"On average, how much would you spend at Starbucks per visit?","How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:",How would you rate the price range at Starbucks?,How important are sales and promotions in your purchase decision?,"How would you rate the ambiance at Starbucks? (lighting, music, etc...)",You rate the WiFi quality at Starbucks as..,"How would you rate the service at Starbucks? (Promptness, friendliness, etc..)",How likely you will choose Starbucks for doing business meetings or hangout with friends?,How do you come to hear of promotions at Starbucks? Check all that apply.,Will you continue buying at Starbucks?
138,Male,Below 20,Self-Employed,"$100,000-$150,000",Never,Take away,Below 30 minutes,Yes,Coffee,Between $15-$20,4,2,3,5,4,5,4,Starbucks Website/Apps,No
139,Male,Above 40,Student,"More than $150,000",Daily,Never ,More than 3 hours,No,Coffee,More than $20,2,1,5,3,4,4,4,Social Media,No
140,Male,Below 20,Employed,"More than $150,000",Never,Take away,More than 3 hours,Yes,Coffee,More than $20,2,3,2,5,4,5,1,Social Media;Through friends and word of mouth,No
141,Male,Below 20,Self-Employed,"$100,000-$150,000",Rarely,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,4,5,4,4,3,1,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
142,Male,From 30 to 39,Housewife,"$100,000-$150,000",Monthly,Take away,More than 3 hours,Yes,Cold drinks,Between $15-$20,1,1,4,5,1,2,4,Emails,No
143,Male,From 20 to 29,Employed,"$50,000 - $100,000",Rarely,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,4,1,1,1,5,5,5,Social Media;Emails,Yes
144,Male,Below 20,Student,"More than $150,000",Rarely,Dine in,More than 3 hours,Yes,Coffee,More than $20,4,5,3,5,5,4,5,Social Media,Yes
145,Female,Above 40,Self-Employed,"$50,000 - $100,000",Daily,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,4,1,4,5,4,3,2,Through friends and word of mouth,No
146,Female,From 20 to 29,Housewife,"More than $150,000",Never,Dine in,Below 30 minutes,No,Cold drinks;Pastries;Sandwiches,More than $20,4,1,4,3,5,3,3,Social Media;Through friends and word of mouth,No
147,Female,Above 40,Student,"More than $150,000",Weekly,Take away,Between 2 hours to 3 hours,Yes,Coffee;Juices;Pastries;Sandwiches,Between $15-$20,2,3,4,3,3,1,4,Through friends and word of mouth;In Store displays,Yes
148,Female,From 20 to 29,Employed,"$25,000 - $50,000",Weekly,Dine in,Between 1 hour to 2 hours,No,Coffee;Cold drinks,Between $15-$20,1,4,1,3,2,4,5,Social Media;In Store displays;Billboards,No
149,Female,Above 40,Student,"$25,000 - $50,000",Daily,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Between $15-$20,5,5,5,3,2,1,3,Application offer,Yes
150,Female,From 20 to 29,Employed,"More than $150,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,2,1,2,3,5,1,4,Social Media,Yes
151,Female,Above 40,Student,"More than $150,000",Weekly,Take away,Below 30 minutes,Yes,Coffee,Between $10-$15,4,4,5,3,2,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth;In Store displays,No
152,Male,From 20 to 29,Employed,"More than $150,000",Weekly,Dine in,Between 1 hour to 2 hours,Yes,Coffee,More than $20,4,1,3,3,3,3,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
153,Male,From 30 to 39,Student,"$50,000 - $100,000",Rarely,Take away,Between 1 hour to 2 hours,Yes,Coffee;Pastries;Sandwiches,Between $10-$15,4,1,2,1,5,5,1,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
154,Male,From 30 to 39,Housewife,"$100,000-$150,000",Never,Take away,Below 30 minutes,No,Coffee;Pastries,Between $15-$20,2,5,3,1,2,4,2,In Store displays,No
155,Male,From 30 to 39,Self-Employed,"Less than $25,000",Rarely,Dine in,Below 30 minutes,No,Coffee,Between $15-$20,3,4,1,4,4,5,2,Social Media,No
156,Female,Below 20,Employed,"More than $150,000",Monthly,Take away,Below 30 minutes,Yes,Coffee,Between $15-$20,3,2,5,4,4,1,1,Social Media,No
157,Male,From 30 to 39,Self-Employed,"More than $150,000",Monthly,I dont like coffee,Below 30 minutes,No,Coffee,Between $10-$15,1,3,1,3,2,5,4,Social Media;Through friends and word of mouth;Billboards,No
158,Male,Above 40,Self-Employed,"More than $150,000",Weekly,Drive-thru,Below 30 minutes,No,Coffee,More than $20,4,4,4,5,1,2,2,Social Media,No
159,Female,Below 20,Student,"More than $150,000",Never,Drive-thru,Between 1 hour to 2 hours,No,Cold drinks,More than $20,4,4,1,2,1,5,5,Social Media,No
160,Male,From 30 to 39,Student,"$50,000 - $100,000",Rarely,Drive-thru,Below 30 minutes,No,Coffee,More than $20,2,4,4,3,1,5,4,Starbucks Website/Apps;Social Media,Yes
161,Male,From 30 to 39,Self-Employed,"$100,000-$150,000",Never,Dine in,Between 30 minutes to 1 hour,Yes,Cold drinks;Juices;Pastries,Between $10-$15,1,2,2,1,2,5,3,In Store displays,No
162,Female,Below 20,Employed,"$25,000 - $50,000",Weekly,Drive-thru,Between 1 hour to 2 hours,No,Coffee,Less than $10,5,4,4,4,4,4,5,Starbucks Website/Apps;Social Media,Yes
163,Female,From 30 to 39,Employed,"$100,000-$150,000",Daily,Dine in,More than 3 hours,Yes,Coffee,Between $10-$15,1,3,1,1,3,5,5,Social Media,Yes
164,Female,From 20 to 29,Housewife,"$100,000-$150,000",Weekly,Drive-thru,Below 30 minutes,No,Coffee,Less than $10,3,1,2,5,1,5,4,Starbucks Website/Apps;Social Media,Yes
165,Female,From 20 to 29,Housewife,"$100,000-$150,000",Daily,Drive-thru,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,5,5,1,4,5,5,4,Social Media,Yes
166,Female,From 30 to 39,Employed,"$25,000 - $50,000",Never,Take away,Between 30 minutes to 1 hour,No,Coffee;Pastries,More than $20,2,3,4,5,2,1,1,Starbucks Website/Apps;Social Media;Emails;Billboards,No
167,Female,Below 20,Self-Employed,"$25,000 - $50,000",Rarely,Never,Below 30 minutes,No,Coffee,Between $10-$15,5,1,4,4,2,4,1,Social Media,Yes
168,Female,Below 20,Self-Employed,"$100,000-$150,000",Never,never,Between 1 hour to 2 hours,No,Coffee;Pastries,Between $15-$20,3,5,3,1,2,1,5,Social Media,Yes
169,Male,From 20 to 29,Student,"More than $150,000",Monthly,Dine in,Between 2 hours to 3 hours,Yes,Cold drinks,Between $10-$15,2,1,4,3,1,4,1,Through friends and word of mouth,No
170,Female,Below 20,Self-Employed,"Less than $25,000",Never,Take away,Below 30 minutes,Yes,Coffee,More than $20,5,5,4,1,3,4,3,"Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",No
171,Female,Above 40,Employed,"More than $150,000",Rarely,Take away,Between 2 hours to 3 hours,Yes,Cold drinks,More than $20,4,2,5,4,1,5,4,Social Media;Through friends and word of mouth,Yes
172,Female,From 30 to 39,Employed,"$50,000 - $100,000",Monthly,Never ,Between 2 hours to 3 hours,No,Cold drinks,Between $15-$20,4,1,2,5,3,2,5,Social Media,Yes
173,Female,From 20 to 29,Self-Employed,"Less than $25,000",Rarely,Take away,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,5,3,2,1,4,3,1,Social Media;In Store displays,Yes
174,Male,Below 20,Self-Employed,"More than $150,000",Never,Dine in,Below 30 minutes,No,Cold drinks,Between $15-$20,2,2,3,5,3,4,5,Social Media;Through friends and word of mouth,Yes
175,Female,From 20 to 29,Student,"$100,000-$150,000",Weekly,Take away,More than 3 hours,Yes,Cold drinks;Juices;Pastries,More than $20,2,3,2,5,3,2,4,"Starbucks Website/Apps;Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",No
176,Female,Above 40,Self-Employed,"Less than $25,000",Rarely,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Between $10-$15,2,5,4,3,1,2,4,Social Media,No
177,Female,From 30 to 39,Student,"$25,000 - $50,000",Monthly,Dine in,Between 1 hour to 2 hours,No,Coffee,Less than $10,4,3,3,1,3,4,1,Social Media;Through friends and word of mouth,Yes
178,Male,Above 40,Student,"$50,000 - $100,000",Monthly,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,1,2,4,4,4,5,3,Starbucks Website/Apps,Yes
179,Female,Above 40,Employed,"$50,000 - $100,000",Daily,Dine in,Between 2 hours to 3 hours,No,Coffee;Cold drinks,Between $15-$20,4,5,2,5,4,4,3,In Store displays,Yes
180,Male,Below 20,Self-Employed,"$100,000-$150,000",Weekly,Take away,Below 30 minutes,Yes,Coffee,Between $15-$20,3,4,1,2,5,5,2,Through friends and word of mouth,No
181,Male,From 30 to 39,Housewife,"$50,000 - $100,000",Daily,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,3,3,5,4,1,1,2,Social Media,No
182,Female,From 20 to 29,Student,"More than $150,000",Monthly,Dine in,Between 2 hours to 3 hours,Yes,Cold drinks,Less than $10,5,2,4,2,2,1,3,Starbucks Website/Apps;Social Media,No
183,Male,Above 40,Employed,"$50,000 - $100,000",Daily,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Less than $10,3,4,2,3,5,2,2,Social Media,Yes
184,Male,Below 20,Self-Employed,"Less than $25,000",Daily,Take away,Below 30 minutes,No,Coffee;Cold drinks,Less than $10,2,1,3,4,2,2,3,In Store displays,No
185,Male,From 30 to 39,Self-Employed,"$50,000 - $100,000",Monthly,Dine in,Below 30 minutes,Yes,Coffee,Between $10-$15,4,3,2,3,3,5,2,Social Media,No
186,Male,From 30 to 39,Housewife,"Less than $25,000",Rarely,Take away,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,2,1,1,1,3,5,2,Social Media;Through friends and word of mouth,Yes
187,Male,From 30 to 39,Housewife,"$50,000 - $100,000",Never,Take away,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,3,4,4,3,3,5,1,Social Media,Yes
188,Male,From 20 to 29,Employed,"More than $150,000",Weekly,Dine in,More than 3 hours,Yes,Coffee,Between $10-$15,5,4,5,5,1,2,5,Through friends and word of mouth,No
189,Male,Above 40,Housewife,"$50,000 - $100,000",Daily,Take away,Between 30 minutes to 1 hour,Yes,Coffee;Cold drinks;Pastries;Sandwiches,Between $10-$15,4,1,5,5,2,3,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
190,Male,Below 20,Self-Employed,"More than $150,000",Monthly,I dont like coffee,Between 1 hour to 2 hours,Yes,Never,Between $10-$15,4,3,5,3,2,5,3,Never hear,No
191,Male,From 30 to 39,Housewife,"$100,000-$150,000",Weekly,Drive-thru,Between 1 hour to 2 hours,Yes,Coffee,More than $20,4,5,4,4,1,4,5,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
192,Female,From 20 to 29,Employed,"More than $150,000",Never,Drive-thru,Below 30 minutes,Yes,Cold drinks,More than $20,4,3,5,4,3,1,5,Social Media;Through friends and word of mouth;In Store displays;Billboards,No
193,Male,From 20 to 29,Self-Employed,"$100,000-$150,000",Rarely,Drive-thru,Between 1 hour to 2 hours,Yes,Coffee,Between $15-$20,1,2,5,3,3,3,4,Social Media;Through friends and word of mouth,Yes
194,Female,Above 40,Employed,"More than $150,000",Never,Dine in,Between 30 minutes to 1 hour,Yes,Coffee;Sandwiches,Between $15-$20,2,4,2,1,5,1,1,"Starbucks Website/Apps;Deal sites (fave, iprice, etc...)",No
195,Male,Below 20,Self-Employed,"$50,000 - $100,000",Rarely,Drive-thru,Between 30 minutes to 1 hour,Yes,Coffee,Between $15-$20,2,2,1,1,1,5,4,Through friends and word of mouth,Yes
196,Female,From 20 to 29,Employed,"Less than $25,000",Rarely,Dine in,Below 30 minutes,Yes,Cold drinks,Less than $10,5,2,2,2,1,3,4,Starbucks Website/Apps;Social Media,No
197,Male,From 30 to 39,Housewife,"More than $150,000",Monthly,Drive-thru,Between 2 hours to 3 hours,Yes,Coffee;Cold drinks,More than $20,4,1,5,4,3,2,2,Social Media,No
198,Male,Above 40,Student,"$50,000 - $100,000",Weekly,Drive-thru,More than 3 hours,No,Coffee,Between $10-$15,5,2,3,1,2,5,3,"Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
199,Female,From 30 to 39,Housewife,"$100,000-$150,000",Monthly,Take away,Below 30 minutes,Yes,Coffee,Less than $10,2,1,1,4,3,2,4,Social Media;Emails;Through friends and word of mouth,Yes
200,Female,From 30 to 39,Employed,"Less than $25,000",Weekly,Never,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,2,2,3,5,4,3,4,Social Media,No
201,Female,From 30 to 39,Employed,"$100,000-$150,000",Weekly,never,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,4,1,4,3,1,3,2,Social Media;Through friends and word of mouth,Yes
202,Female,From 20 to 29,Employed,"$25,000 - $50,000",Monthly,Dine in,Between 1 hour to 2 hours,No,Cold drinks,Less than $10,5,1,1,4,5,1,1,"Social Media;Deal sites (fave, iprice, etc...)",No
203,Male,Above 40,Self-Employed,"$100,000-$150,000",Weekly,Take away,Below 30 minutes,No,Coffee,More than $20,4,1,3,2,5,2,1,Starbucks Website/Apps,No
204,Female,Below 20,Employed,"Less than $25,000",Weekly,Take away,Below 30 minutes,Yes,Never buy any,Less than $10,4,4,3,1,1,2,4,Starbucks Website/Apps,Yes
205,Male,Above 40,Self-Employed,"$25,000 - $50,000",Daily,Never ,Between 1 hour to 2 hours,Yes,Cold drinks,More than $20,2,5,4,1,1,1,1,Starbucks Website/Apps,Yes
206,Female,Below 20,Employed,"Less than $25,000",Monthly,Take away,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,4,2,2,1,5,1,5,Social Media,No
207,Female,From 30 to 39,Housewife,"$100,000-$150,000",Weekly,Dine in,Between 2 hours to 3 hours,No,Coffee,More than $20,1,3,4,1,5,3,2,In Store displays,Yes
208,Male,From 30 to 39,Housewife,"$50,000 - $100,000",Weekly,Take away,Between 30 minutes to 1 hour,Yes,Jaws chip ,Between $15-$20,2,5,1,3,5,2,3,Starbucks Website/Apps;Emails,No
209,Male,Below 20,Student,"$100,000-$150,000",Rarely,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,3,5,2,5,4,1,5,Social Media;Through friends and word of mouth,Yes
210,Male,Above 40,Student,"$100,000-$150,000",Weekly,Dine in,Between 1 hour to 2 hours,No,Coffee,Less than $10,1,2,2,5,1,5,1,Social Media;Through friends and word of mouth,Yes
211,Male,Above 40,Housewife,"$50,000 - $100,000",Weekly,Dine in,Between 1 hour to 2 hours,No,cake ,Between $15-$20,4,2,2,5,5,2,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
212,Female,From 20 to 29,Housewife,"$100,000-$150,000",Rarely,Dine in,More than 3 hours,Yes,Cold drinks,Between $10-$15,1,3,5,1,2,3,1,Starbucks Website/Apps,Yes
213,Male,From 30 to 39,Housewife,"$100,000-$150,000",Daily,Take away,More than 3 hours,Yes,Coffee,Between $10-$15,4,1,2,3,2,1,3,Emails,Yes
214,Female,From 20 to 29,Student,"Less than $25,000",Daily,Dine in,More than 3 hours,No,Coffee;Pastries,Between $15-$20,3,4,5,3,2,3,2,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
215,Female,Above 40,Self-Employed,"$50,000 - $100,000",Daily,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Between $15-$20,4,1,2,5,2,4,5,Social Media,No
216,Female,Below 20,Housewife,"$50,000 - $100,000",Daily,Take away,Between 1 hour to 2 hours,No,Coffee,Less than $10,4,5,5,1,3,3,2,Social Media;In Store displays,No
217,Male,From 20 to 29,Self-Employed,"$25,000 - $50,000",Daily,Dine in,More than 3 hours,No,Coffee,Between $15-$20,3,5,2,1,1,1,3,Social Media;Through friends and word of mouth,Yes
218,Female,Below 20,Self-Employed,"$100,000-$150,000",Weekly,Take away,More than 3 hours,Yes,Cold drinks,Between $10-$15,1,3,5,5,2,3,1,Social Media;Through friends and word of mouth;In Store displays;Billboards,No
219,Female,From 20 to 29,Housewife,"$50,000 - $100,000",Daily,Take away,More than 3 hours,Yes,Cold drinks,Between $15-$20,1,2,4,4,1,4,3,Social Media;Through friends and word of mouth,Yes
220,Female,From 30 to 39,Housewife,"$100,000-$150,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Pastries,Between $15-$20,3,2,2,1,5,2,4,Social Media,No
221,Female,Below 20,Employed,"More than $150,000",Rarely,Take away,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,1,2,4,2,4,1,1,Starbucks Website/Apps;Emails,No
222,Female,From 20 to 29,Housewife,"Less than $25,000",Daily,I dont like coffee,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,4,5,2,4,1,1,1,Social Media,No
223,Male,From 30 to 39,Self-Employed,"More than $150,000",Daily,Drive-thru,Between 30 minutes to 1 hour,Yes,Cold drinks,Between $15-$20,1,2,5,1,3,1,3,Through friends and word of mouth,Yes
224,Female,From 20 to 29,Self-Employed,"$50,000 - $100,000",Never,Drive-thru,Between 2 hours to 3 hours,No,Coffee,Less than $10,2,4,2,5,2,5,5,Through friends and word of mouth,Yes
225,Male,From 30 to 39,Self-Employed,"$25,000 - $50,000",Weekly,Drive-thru,More than 3 hours,Yes,Coffee,Between $10-$15,5,2,2,2,3,5,3,Social Media;Emails,No
226,Male,Below 20,Student,"$100,000-$150,000",Rarely,Dine in,More than 3 hours,Yes,Coffee;Pastries,Less than $10,4,3,1,3,5,1,5,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
227,Male,From 30 to 39,Student,"$50,000 - $100,000",Rarely,Drive-thru,Between 1 hour to 2 hours,Yes,Pastries,Between $10-$15,2,4,4,4,3,4,5,Social Media;Emails,Yes
228,Male,From 20 to 29,Self-Employed,"$25,000 - $50,000",Weekly,Dine in,Between 2 hours to 3 hours,No,Cold drinks,Less than $10,2,1,3,4,3,4,2,Starbucks Website/Apps,No
229,Female,Above 40,Employed,"Less than $25,000",Weekly,Drive-thru,Between 1 hour to 2 hours,No,Coffee,Less than $10,4,3,2,2,2,2,3,Starbucks Website/Apps;Social Media,No
230,Male,Below 20,Employed,"$100,000-$150,000",Weekly,Drive-thru,Between 2 hours to 3 hours,No,Cold drinks;Never,Less than $10,4,4,2,5,5,5,5,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
231,Male,From 30 to 39,Employed,"$100,000-$150,000",Monthly,Take away,Below 30 minutes,Yes,never,Between $10-$15,2,5,2,5,5,5,3,Through friends and word of mouth,No
232,Male,Above 40,Housewife,"$50,000 - $100,000",Weekly,Never,Below 30 minutes,No,Coffee;Pastries,Less than $10,4,5,2,4,4,1,1,Social Media,Yes
233,Female,Below 20,Self-Employed,"More than $150,000",Weekly,never,More than 3 hours,Yes,Cold drinks,Between $10-$15,2,1,2,2,4,1,5,Social Media,No
234,Male,From 30 to 39,Self-Employed,"$100,000-$150,000",Monthly,Dine in,Between 2 hours to 3 hours,Yes,Cold drinks,More than $20,3,2,4,1,4,2,5,Social Media;Through friends and word of mouth;In Store displays;Billboards,No
235,Male,From 30 to 39,Self-Employed,"$100,000-$150,000",Daily,Take away,Between 30 minutes to 1 hour,No,Nothing ,Less than $10,1,2,3,2,1,2,3,Billboards,No
236,Male,Below 20,Student,"$25,000 - $50,000",Never,Take away,Below 30 minutes,No,Cold drinks,More than $20,3,2,1,3,5,2,2,Social Media,No
237,Female,Above 40,Employed,"More than $150,000",Weekly,Never ,Between 30 minutes to 1 hour,No,Cold drinks,Between $15-$20,1,4,5,5,4,1,1,In Store displays,No
238,Female,From 30 to 39,Self-Employed,"$25,000 - $50,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Cold drinks,Less than $10,5,3,5,3,4,2,3,Social Media;Through friends and word of mouth,Yes
239,Male,Above 40,Housewife,"More than $150,000",Never,Dine in,Below 30 minutes,Yes,Cold drinks,More than $20,1,5,2,1,1,5,3,Social Media,No
240,Female,Below 20,Self-Employed,"Less than $25,000",Weekly,Take away,Between 1 hour to 2 hours,Yes,Coffee,Less than $10,2,3,2,2,3,3,3,Starbucks Website/Apps;Social Media,No
241,Female,From 30 to 39,Student,"$100,000-$150,000",Daily,Dine in,Between 2 hours to 3 hours,Yes,Coffee;Cold drinks;Juices;Pastries;Sandwiches,Between $10-$15,3,5,3,1,2,3,4,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",No
242,Male,Below 20,Self-Employed,"$100,000-$150,000",Never,Dine in,Between 2 hours to 3 hours,Yes,Coffee;Cold drinks,More than $20,2,1,4,3,1,4,4,Social Media;Through friends and word of mouth;In Store displays,Yes
243,Female,Above 40,Self-Employed,"$25,000 - $50,000",Weekly,Dine in,Between 2 hours to 3 hours,Yes,Coffee,More than $20,3,5,3,2,4,4,1,Social Media;Through friends and word of mouth;Billboards,No
244,Male,Below 20,Employed,"Less than $25,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,3,2,3,4,2,1,5,In Store displays,Yes
245,Female,From 20 to 29,Employed,"More than $150,000",Monthly,Take away,More than 3 hours,Yes,Coffee,More than $20,2,2,3,2,1,2,2,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)",Yes
246,Male,Below 20,Employed,"$25,000 - $50,000",Monthly,Dine in,More than 3 hours,No,Cold drinks;Pastries,Less than $10,1,3,3,1,4,3,2,Social Media;In Store displays,No
247,Male,Below 20,Self-Employed,"$100,000-$150,000",Rarely,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,2,2,2,5,2,3,1,In Store displays;Billboards,Yes
248,Female,From 30 to 39,Housewife,"$50,000 - $100,000",Daily,Dine in,Below 30 minutes,No,Coffee,Between $15-$20,3,5,1,4,2,5,2,Through friends and word of mouth,Yes
249,Female,From 30 to 39,Housewife,"More than $150,000",Monthly,Take away,More than 3 hours,Yes,Coffee;Sandwiches,Between $10-$15,1,3,2,2,1,1,1,Starbucks Website/Apps;Social Media,Yes
250,Female,From 20 to 29,Self-Employed,"$100,000-$150,000",Never,Dine in,Below 30 minutes,No,Cold drinks,Between $15-$20,5,5,1,3,4,5,1,Social Media,No
